amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_gram_params,opt_lr,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,19.25361240362941,74.08,0.7363872213363647,0.0,22.86903398996219,11,25462.672795519753,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.006,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26592.41233626814,0.9,True,anchor,row,0.45,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.112966954023,45000,0.7902359106074804,5000,component_no_normuon_lr0.006_rg0.45_pb0.9_nb0.93,epoch,True,74.08,5000,0.7363872213363647,train_split,0.001,0.2
False,19.43260048892103,73.58,0.7414449844360351,0.0,23.18694768100977,11,25481.59967408213,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.008,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26347.477286526988,0.9,True,anchor,row,0.25,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.35542385057471,45000,0.78055798390816,5000,component_no_normuon_lr0.008_rg0.25_pb0.9_nb0.93,epoch,True,73.58,5000,0.7414449844360351,train_split,0.001,0.2
False,19.382700710883007,74.34,0.7114329426765442,0.0,23.10011565394234,11,24727.14770149827,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.008,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26415.30752794021,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.88748204022988,45000,0.7740781129091635,5000,component_no_normuon_lr0.008_rg0.35_pb0.9_nb0.93,epoch,True,74.34,5000,0.7114329426765442,train_split,0.001,0.2
False,18.12963110820294,75.24,0.7126731649398804,0.0,21.771317173028365,11,27081.675279072675,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.008,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,28241.060005260686,0.9,True,anchor,row,0.45,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.66073994252874,45000,0.7708369315355673,5000,component_no_normuon_lr0.008_rg0.45_pb0.9_nb0.93,epoch,True,75.24,5000,0.7126731649398804,train_split,0.001,0.2
False,19.283579772055486,74.74,0.7299225689888,0.0,22.87527565099299,11,25223.7467354354,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1126.41162109375,False,0.85,0.95,False,False,0.93,1.0,18.0,0.01,18.0,0.0,0.0,0.0,60.0,1044.0,0.0,anchormuon,26551.086782235176,0.9,True,anchor,row,0.35,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.94360632183908,45000,0.7670784373393004,5000,component_no_normuon_lr0.01_rg0.35_pb0.9_nb0.93,epoch,True,73.6,5000,0.7417323182106018,train_split,0.001,0.2
False,19.342604777806926,75.14,0.6991024031639099,0.0,22.990714914049022,11,25453.38347979761,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.006,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,26470.0647033564,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,72.69665948275862,45000,0.7661226761752161,5000,component_no_pmuoneq_lr0.006_rg0_pb0.9_nb0.93,epoch,True,75.14,5000,0.6991024031639099,train_split,0.001,0.2
False,19.284901710965766,74.38,0.7121706074714661,0.0,22.931513049989007,11,24982.311977218254,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.9,1.0,18.0,0.008,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,26549.266761824714,0.95,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.52505387931035,45000,0.7492103035422577,5000,component_no_pmuoneq_lr0.008_rg0_pb0.95_nb0.9,epoch,True,73.7,5000,0.7265568307876586,train_split,0.001,0.2
False,19.017485951446353,74.64,0.7151075058937073,0.0,22.758269081939943,11,24911.000397788255,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.95,1.0,18.0,0.008,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,26922.59120407345,0.95,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.56097341954023,45000,0.749670889185763,5000,component_no_pmuoneq_lr0.008_rg0_pb0.95_nb0.95,epoch,True,74.24,5000,0.7169994562149048,train_split,0.001,0.2
False,19.024077942840204,75.94,0.6686715987205505,0.0,22.745210507069714,11,24673.19562040262,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.008,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,26913.262316226654,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.74955100574712,45000,0.7487808452255424,5000,component_no_pmuoneq_lr0.008_rg0_pb0.9_nb0.93,epoch,True,75.94,5000,0.6686715987205505,train_split,0.001,0.2
False,19.068955820699674,75.04,0.7042760734558106,0.0,22.816911677946337,11,26016.222903749527,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1126.43212890625,False,0.85,0.95,True,False,0.93,1.0,18.0,0.012,18.0,0.0,0.0,18.0,60.0,1044.0,0.0,anchormuon,26849.92323723438,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,all,12345,1044,cpu_launch_unsynchronized,10000,2.13.0.dev20260506+cu130,73.34096623563218,45000,0.7583651385088076,5000,component_no_pmuoneq_lr0.012_rg0_pb0.9_nb0.93,epoch,True,74.24,5000,0.7096881422042847,train_split,0.001,0.2
