amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,epoch,examples_per_sec,gpu,lr,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_beta,opt_beta,opt_lr,opt_matrix_params,opt_mean_precond_matrix_rms,opt_mean_update_rms,opt_mimuon_params,opt_normuon_params,opt_params,opt_step,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,row_gamma,seed,soda,step,torch,train_acc,train_loss,trial,type,val_acc,val_loss,weight_decay
True,12.099872808803443,65.36,0.953600898551941,0.0,17.967353601939976,11,36615.46322265833,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42314.49438274151,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,63.7866462628866,0.9993630868872416,adamw_cosine_lr0.003_wd0.005,epoch,65.36,0.953600898551941,0.005
True,11.947815422299943,65.44,0.9633767501831054,0.0,17.73146203404758,11,36125.93545419243,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42853.02223905971,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,63.72019974226804,1.0029609000559934,adamw_cosine_lr0.003_wd0.01,epoch,65.44,0.9633767501831054,0.01
True,12.015979908065889,65.07,0.9614750179290772,0.0,17.858071906026453,11,37020.11509271474,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42609.9247766146,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,63.89940399484536,1.0014954571871413,adamw_cosine_lr0.003_wd0.03,epoch,65.07,0.9614750179290772,0.03
True,11.733615905153677,65.29,0.9579408859252929,0.0,17.48412565200124,11,37091.547334571245,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.003,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43635.312774736194,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,63.8329574742268,1.0007963149817949,adamw_cosine_lr0.003_wd0.05,epoch,65.29,0.9579408859252929,0.05
True,11.950412119860374,68.5,0.8845424629211426,0.0,17.79750716907438,11,36567.554134316706,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42843.71073271255,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,66.7626449742268,0.9214714439873842,adamw_cosine_lr0.004_wd0.001,epoch,68.5,0.8845424629211426,0.001
True,12.33568587958496,67.45,0.9031008247375488,0.0,18.185345037956722,11,35810.93771307672,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,41505.596445783245,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,66.07804445876289,0.9429459381349308,adamw_cosine_lr0.004_wd0.005,epoch,67.45,0.9031008247375488,0.005
True,12.130217886525061,67.49,0.9047765475273132,0.0,18.04108172201086,11,36274.095844137446,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,42208.64000874698,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.81628543814433,0.9481108876847729,adamw_cosine_lr0.004_wd0.01,epoch,67.49,0.9047765475273132,0.01
True,11.861701360427618,67.45,0.9020802068710327,0.0,17.712305628927425,11,40674.66009746221,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43164.12835245603,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,66.08005798969072,0.9443130616060237,adamw_cosine_lr0.004_wd0.03,epoch,67.45,0.9020802068710327,0.03
True,11.863251049587618,66.75,0.9209974212646485,0.0,17.679349904996343,11,36765.296474874856,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.004,cosine,1124.625,False,0.85,0.95,False,0.95,,,,,,,,,,adamw,43158.48984901974,0.95,True,0.2,123,matrix,1164,2.13.0.dev20260506+cu130,65.47197164948453,0.9562640073373145,adamw_cosine_lr0.004_wd0.05,epoch,66.71,0.9209974212646485,0.05
False,21.825237643322506,77.07,0.6560064141273498,0.1,29.24898576294072,11,21620.597660369305,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,cosine,1126.43212890625,False,0.85,0.95,True,0.9,1.0,0.006,18.0,0.0002525740692362888,0.6710014268755913,0.0,18.0,60.0,1164.0,anchormuon,23459.080188143922,0.9,True,0.2,123,all,1164,2.13.0.dev20260506+cu130,74.38184600515464,0.7230952941265303,normuon_mlr0.006_rg0.2_cg0.1_mom0.95_pb0.9_nb0.9,epoch,77.07,0.6560064141273498,0.05
