amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,normuon,normuon_aspect_scale,normuon_beta,opt_beta,opt_fallback_count,opt_gram_params,opt_group_count,opt_lr,opt_matrix_count,opt_matrix_params,opt_mimuon_params,opt_normuon_aspect_params,opt_normuon_params,opt_params,opt_soda_weight,opt_step,opt_sync_diagnostics,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
False,17.22241996634052,79.48,0.5706110785007477,0.0,20.951332231983542,0.0,0.99,0.2,0.3,11,27168.035738553408,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.018,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0018840248962655633,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29728.690915716386,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.91172772988506,45000,0.6206916687132298,5000,muon_wsd_lr0.018_wd0,epoch,True,79.48,5000,0.5706110785007477,train_split,0.0,0.2
False,17.413727907906377,79.5,0.5832527302742004,0.0,21.1074576319661,0.0,0.99,0.2,0.3,11,28054.43839484898,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.018,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.0018840248962655633,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29402.090276576335,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,77.28313577586206,45000,0.6378669636002903,5000,muon_wsd_lr0.018_wd0.001,epoch,True,79.5,5000,0.5832527302742004,train_split,0.001,0.2
False,16.893816800739874,79.98,0.568640044593811,0.0,20.7112051009899,0.0,0.99,0.2,0.3,11,26287.032752517563,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.001046680497925313,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,30306.946383932416,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.61215876436782,45000,0.59898015171632,5000,muon_wsd_lr0.01_wd0,epoch,True,79.98,5000,0.568640044593811,train_split,0.0,0.2
False,17.212234392973606,80.02,0.5746273924827575,0.0,20.90751596703194,0.0,0.99,0.2,0.3,11,28347.017393156937,True,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.01,0.1,wsd,1124.654296875,False,0.85,0.95,False,False,0.95,1.0,,18.0,,0.001046680497925313,,18.0,0.0,0.0,0.0,60.0,,1044.0,0.0,anchormuon,29746.283272147928,0.9,False,anchor,row,0.0,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,none,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,78.7872665229885,45000,0.595400689662188,5000,muon_wsd_lr0.01_wd0.001,epoch,True,80.02,5000,0.5746273924827575,train_split,0.001,0.2
True,20.28213029803612,70.78,0.8077282787322998,0.0,24.141560757998377,0.0,0.99,0.2,0.3,11,25474.162730198444,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,25243.896596482078,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,68.71183548850574,45000,0.8759663228330941,5000,muown_wsd_lr0.008_wd0,epoch,True,70.78,5000,0.8077282787322998,train_split,0.0,0.2
True,20.603240660629933,64.2,0.9950264835357666,0.0,24.41755231609568,0.0,0.99,0.2,0.3,11,23686.65571366703,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,24850.45961620806,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,59.79480962643678,45000,1.1170364522385872,5000,muown_wsd_lr0.008_wd0.001,epoch,True,64.2,5000,0.9950264835357666,train_split,0.001,0.2
True,20.79069885767379,63.74,1.0109434564590454,0.0,24.705004671006463,0.0,0.99,0.2,0.3,11,23752.150608586675,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.008,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,24626.396808735564,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,59.61296695402299,45000,1.1277977940679966,5000,muown_wsd_lr0.008_wd0.005,epoch,True,63.74,5000,1.0109434564590454,train_split,0.005,0.2
True,20.541876993499788,72.2,0.7860028390884399,0.0,24.433761933934875,0.0,0.99,0.2,0.3,11,24194.654783907,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,24924.694085258896,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,69.46390086206897,45000,0.8523621675611912,5000,muown_wsd_lr0.012_wd0,epoch,True,72.2,5000,0.7860028390884399,train_split,0.0,0.2
True,20.577340765046205,62.68,1.058308048439026,0.0,24.50495530909393,0.0,0.99,0.2,0.3,11,22738.96948986781,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,24881.737919688396,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,57.70698635057471,45000,1.17583857048517,5000,muown_wsd_lr0.012_wd0.001,epoch,True,62.68,5000,1.058308048439026,train_split,0.001,0.2
True,20.41937522161966,61.3,1.0674030498504639,0.0,24.222167180036195,0.0,0.99,0.2,0.3,11,23001.88302061644,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.012,0.1,wsd,1122.96142578125,False,0.85,0.95,False,False,0.95,,,,,,,,,,,,,,,muown,25074.224575583674,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,57.15472341954023,45000,1.189337690671285,5000,muown_wsd_lr0.012_wd0.005,epoch,True,61.3,5000,1.0674030498504639,train_split,0.005,0.2
