bin,cumulative_examples,display_name,epoch,epoch_time_s,family,method,optimizer_time_s,samples_per_s,source_family,target_step,test_acc1,test_loss,train_examples,train_loss,train_steps
1,64000,EquiMuse peer-gamma + aspect,0,15.815017461776733,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.792273998260498,4046.78655301402,Schedule-free EquiMuse,125,10.000000289916992,2.3848433792591095,64000,2.38185568857193,125
2,128000,EquiMuse peer-gamma + aspect,1,15.476837396621704,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.530489683151245,4135.211759346258,Schedule-free EquiMuse,250,41.67000112304687,1.6528988714729036,64000,2.309271826505661,125
3,192000,EquiMuse peer-gamma + aspect,2,15.553102493286133,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.588759422302246,4114.934626556156,Schedule-free EquiMuse,375,55.0700013671875,1.3069414581571306,64000,1.8109888162612915,125
4,256000,EquiMuse peer-gamma + aspect,3,15.689181089401245,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.4181628227233887,4079.244138703639,Schedule-free EquiMuse,500,60.11000131835937,1.1589448973536491,64000,1.6401969175338744,125
5,320000,EquiMuse peer-gamma + aspect,4,15.664636373519897,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.3802201747894287,4085.6358535195914,Schedule-free EquiMuse,625,62.99000158691406,1.0900858523590224,64000,1.5354770922660828,125
6,384000,EquiMuse peer-gamma + aspect,5,15.757377862930298,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.4384968280792236,4061.58946981667,Schedule-free EquiMuse,750,64.39000219726563,1.0545109968100275,64000,1.4751867346763612,125
7,448000,EquiMuse peer-gamma + aspect,6,15.839515447616577,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.4887592792510986,4040.5276418749468,Schedule-free EquiMuse,875,64.73000173339844,1.037602883364473,64000,1.4542748036384583,125
8,512000,EquiMuse peer-gamma + aspect,7,15.880473136901855,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p006_rg0p35_cg0p05_nb0p9_aspect_wu50,3.5464377403259277,4030.106625178666,Schedule-free EquiMuse,1000,65.11000212402344,1.030225684600217,64000,1.4516298513412476,125
1,64000,EquiMuse row,0,15.811365365982056,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.795710563659668,4047.721276348161,Schedule-free EquiMuse,125,10.000000289916992,2.3848288357257843,64000,2.3818639192581177,125
2,128000,EquiMuse row,1,15.199744462966919,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.477506160736084,4210.597102861261,Schedule-free EquiMuse,250,40.660001354980466,1.6757820738213403,64000,2.5352550439834594,125
3,192000,EquiMuse row,2,15.414952039718628,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.50459885597229,4151.813112041846,Schedule-free EquiMuse,375,55.54000107421875,1.3031534914459502,64000,1.8348492641448975,125
4,256000,EquiMuse row,3,15.386452198028564,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.3782153129577637,4159.503384945374,Schedule-free EquiMuse,500,61.1000015625,1.1459271162748337,64000,1.657255334377289,125
5,320000,EquiMuse row,4,15.614548921585083,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.409897804260254,4098.741521218607,Schedule-free EquiMuse,625,63.500002099609375,1.0724530188100678,64000,1.5530387752056123,125
6,384000,EquiMuse row,5,15.64477014541626,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.433842658996582,4090.823924233318,Schedule-free EquiMuse,750,65.08000246582031,1.0354198004518236,64000,1.4898488130569458,125
7,448000,EquiMuse row,6,15.759857416152954,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.525522470474243,4060.9504458081997,Schedule-free EquiMuse,875,65.64000197753906,1.021929749420711,64000,1.4709217340946197,125
8,512000,EquiMuse row,7,15.790675163269043,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p9_wu50,3.44783616065979,4053.024923777261,Schedule-free EquiMuse,1000,65.96000209960937,1.014410922569888,64000,1.4698849484920502,125
1,64000,EquiMuse row + aspect,0,15.75803542137146,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.8073415756225586,4061.4199859711907,Schedule-free EquiMuse,125,10.000000289916992,2.384836103234972,64000,2.3818564414978027,125
2,128000,EquiMuse row + aspect,1,15.208410739898682,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.3172552585601807,4208.197759421269,Schedule-free EquiMuse,250,42.83000112304688,1.627948944057737,64000,2.495148250579834,125
3,192000,EquiMuse row + aspect,2,15.660372495651245,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.5862741470336914,4086.748256963381,Schedule-free EquiMuse,375,56.17000104980469,1.2903089012418474,64000,1.8127793254852296,125
4,256000,EquiMuse row + aspect,3,15.617040872573853,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.3942453861236572,4098.087500839852,Schedule-free EquiMuse,500,60.830001342773436,1.1353158503770828,64000,1.6418298027515412,125
5,320000,EquiMuse row + aspect,4,15.72980809211731,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.4363856315612793,4068.708252840819,Schedule-free EquiMuse,625,63.230001538085936,1.0582675699676787,64000,1.5370155341625213,125
6,384000,EquiMuse row + aspect,5,15.758217334747314,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.5238075256347656,4061.3731008061545,Schedule-free EquiMuse,750,64.71000187988281,1.0263003770794188,64000,1.4757649419307708,125
7,448000,EquiMuse row + aspect,6,15.806394338607788,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.539264440536499,4048.994263269599,Schedule-free EquiMuse,875,65.2900021484375,1.0140976863248008,64000,1.4539758512973786,125
8,512000,EquiMuse row + aspect,7,15.891382455825806,EquiMuse + NorMuon,equimuse_soda_pmuoneq_normuon_lr0p01_rg0p15_cg0p15_nb0p93_aspect_wu50,3.481236696243286,4027.3399861783264,Schedule-free EquiMuse,1000,65.85000219726562,1.0019281708768435,64000,1.4518802802562714,125
