type,trial,epoch,step,batch,train_loss,lr,step_ms,step_timing,family,label,train_acc,val_loss,val_acc,best_val_acc,best_val_loss,examples_per_sec,max_memory_mb,progress,interval_examples_per_sec,interval_avg_step_ms,overall_examples_per_sec,elapsed_wall_sec,opt_matrix_count,opt_fallback_count,opt_group_count,opt_soda_weight,opt_step,opt_lr,opt_beta,opt_params,opt_matrix_params,opt_gram_params,opt_mimuon_params,opt_normuon_params,opt_normuon_aspect_params,opt_sync_diagnostics
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,7,696,,1.1249923130561565,,,cuda_synchronized,adamw,AdamW cosine,59.43561422413793,1.0384342545509337,61.96,61.96,1.0384342545509337,40431.3453044623,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,8,700,4.0,1.0147205591201782,0.003815954091319324,10.675926925614476,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,8,725,29.0,1.048586368560791,0.003801097419525426,10.635074926540256,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,8,750,54.0,1.0936182737350464,0.0037856990842883003,10.249809012748301,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,8,775,79.0,1.118713617324829,0.0037697642949819556,10.37003193050623,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,8,783,,1.0760783251674695,,,cuda_synchronized,adamw,AdamW cosine,61.078933189655174,1.0267409603118896,63.08,63.08,1.0267409603118896,41979.083264007706,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,9,800,17.0,0.996323823928833,0.0037532984424668977,12.025750940665603,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,9,825,42.0,1.0374011993408203,0.0037363070972663555,12.595125939697027,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,9,850,67.0,1.1436936855316162,0.003718796007681734,10.00265299808234,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,9,870,,1.0374979746752773,,,cuda_synchronized,adamw,AdamW cosine,62.76715158045977,0.9511574381828308,66.02,66.02,0.9511574381828308,40764.988544666514,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,10,875,5.0,1.0923646688461304,0.0037007710978479206,11.616618023253977,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,10,900,30.0,1.0343201160430908,0.0036822384657291016,16.767362016253173,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,10,925,55.0,0.9893722534179688,0.003663204381055777,11.121024028398097,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,10,950,80.0,1.0002670288085938,0.0036436752832036644,10.131840012036264,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
