amuse,avg_step_ms,best_val_acc,best_val_loss,col_gamma,elapsed_sec,ema_beta,ema_gamma,ema_rest_frac,ema_warmup_frac,epoch,examples_per_sec,external_lr,fallback_beta1,fallback_beta2,fallback_lr_mult,fallback_mode,fallback_weight_decay,gpu,lr,lr_final_scale,lr_schedule,max_memory_mb,mimuon,mimuon_mix,momentum,muown_mag_lr_mult,normuon,normuon_aspect_scale,normuon_beta,opt_fallback_count,opt_group_count,opt_matrix_count,opt_soda_weight,optimizer,overall_examples_per_sec,pmuon_beta,pmuon_eq,root_grouping,root_normuon_mode,row_gamma,seed,sfplus_adamc_decay,sfplus_beta1,sfplus_beta1_anneal_steps,sfplus_beta1_max,sfplus_beta_anneal,sfplus_c_warmup,sfplus_c_warmup_enabled,sfplus_inner_momentum,sfplus_polyak,sfplus_polyak_beta,sfplus_r,sfplus_weight_lr_power,soda,split_seed,step,step_timing,test_examples,torch,train_acc,train_examples,train_loss,train_val_size,trial,type,use_gram,val_acc,val_examples,val_loss,val_source,weight_decay,wsd_decay_frac
True,21.600957306894077,69.7,0.858247123336792,0.0,25.233526658965275,0.03,0.995,0.1,0.2,11,22300.00506063407,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23702.653207716496,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.6544540229885,45000,0.9004652602919216,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag1_b0.03_g0.995,epoch,True,69.7,5000,0.858247123336792,train_split,0.0,0.2
True,21.346018405433146,69.7,0.859257152557373,0.0,24.973641223972663,0.06,0.995,0.1,0.2,11,22314.614900454635,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23985.73777438897,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.54894037356321,45000,0.900481728986762,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag1_b0.06_g0.995,epoch,True,69.7,5000,0.859257152557373,train_split,0.0,0.2
True,21.272642218589898,69.52,0.8589035895347595,0.0,24.978348513133824,0.15,0.995,0.1,0.2,11,22501.07233689302,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,24068.472300660873,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.59383979885058,45000,0.9002118720405403,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag1_b0.15_g0.995,epoch,True,69.52,5000,0.8589035895347595,train_split,0.0,0.2
True,21.556798638767024,69.7,0.8590314208984375,0.0,25.207513744942844,0.1,0.995,0.1,0.2,11,23160.427212381706,False,0.9,0.95,0.5,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,23751.207615737356,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.60955459770115,45000,0.9002682011702965,5000,ema_muown_cosine_lr0.006_wd0_flr0.5_mag1_b0.1_g0.995,epoch,True,69.7,5000,0.8590314208984375,train_split,0.0,0.2
True,21.162383798715013,69.54,0.8608859416007996,0.0,24.82371087395586,0.03,0.995,0.1,0.2,11,23515.83709383098,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24193.871771245773,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.31770833333333,45000,0.9117559660440204,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag0.5_b0.03_g0.995,epoch,True,69.54,5000,0.8608859416007996,train_split,0.0,0.2
True,21.079624935242407,69.2,0.8600579707145691,0.0,24.71390105690807,0.06,0.995,0.1,0.2,11,23657.382327577114,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24288.85720561385,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.34913793103448,45000,0.9125219775342394,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag0.5_b0.06_g0.995,epoch,True,69.2,5000,0.8600579707145691,train_split,0.0,0.2
True,21.00098321960982,69.18,0.8598679545402527,0.0,24.59096296899952,0.15,0.995,0.1,0.2,11,22978.211513364084,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,24379.810918658146,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.36260775862068,45000,0.9126419103008577,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag0.5_b0.15_g0.995,epoch,True,69.18,5000,0.8598679545402527,train_split,0.0,0.2
True,21.35660354751858,69.66,0.8602344710350036,0.0,25.009070832049474,0.1,0.995,0.1,0.2,11,22901.383810891064,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,0.5,False,False,0.95,,,,,ema_muown,23973.849533742417,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.37383261494253,45000,0.9117101430892944,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag0.5_b0.1_g0.995,epoch,True,69.66,5000,0.8602344710350036,train_split,0.0,0.2
True,20.704908949239144,70.12,0.8409142157554627,0.0,24.357220723992214,0.03,0.995,0.1,0.2,11,24535.92528814517,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,24728.435235104705,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.92160560344827,45000,0.8954334772866348,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag1_b0.03_g0.995,epoch,True,70.12,5000,0.8409142157554627,train_split,0.0,0.2
True,21.26806386268316,70.06,0.8418033762931824,0.0,24.913159729912877,0.06,0.995,0.1,0.2,11,23668.990907188734,False,0.9,0.95,1.0,rms,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,0.006,0.1,cosine,1126.47607421875,False,0.85,0.95,1.0,False,False,0.95,,,,,ema_muown,24073.65349783215,0.95,True,anchor,row,0.2,123,False,0.9,0,0.965,False,0,False,False,False,0.0,0.0,2.0,matrix,12345,1044,cuda_synchronized,10000,2.13.0.dev20260506+cu130,67.91936063218391,45000,0.8956730002644419,5000,ema_muown_cosine_lr0.006_wd0_flr1_mag1_b0.06_g0.995,epoch,True,70.06,5000,0.8418033762931824,train_split,0.0,0.2
