batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
40,,,,47,step,,,,,4600,0.285054087638855,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
43,,,,48,step,,,,,4700,0.28328806161880493,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
46,,,,49,step,,,,,4800,0.20219919085502625,,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,,
,0.8689,0.3900567024230957,171.2919943240704,50,bin,14607.25097150613,0.034124687441975096,14928.617873601823,1.0,4850,,0.24403870499173408,orientation_aspect_mlr0.008_rg0.3_cg0_nb0.95,0.8655,0.4256081153869629
2,,,,1,step,,,,,100,1.4114084243774414,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
5,,,,2,step,,,,,200,1.2740201950073242,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
8,,,,3,step,,,,,300,1.279930591583252,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
11,,,,4,step,,,,,400,0.9994101524353027,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
14,,,,5,step,,,,,500,1.0029395818710327,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
17,,,,6,step,,,,,600,0.8198354244232178,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.6963,0.8559367401123047,22.329330136999488,7,bin,13895.34120127145,0.03532429888349629,14494.272106819062,0.12494845360824743,606,,1.2365734333252356,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.6963,0.8559367401123047
20,,,,7,step,,,,,700,0.724321722984314,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
23,,,,8,step,,,,,800,0.7570769786834717,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
26,,,,9,step,,,,,900,0.7359575629234314,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
29,,,,10,step,,,,,1000,0.6954306364059448,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
32,,,,11,step,,,,,1100,0.625452995300293,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
35,,,,12,step,,,,,1200,0.5861257314682007,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.7968,0.5861659942626953,44.253249334055,13,bin,14152.345708753855,0.03525428597703146,14508.650209175406,0.24989690721649485,1212,,0.715746163436682,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.7968,0.5861659942626953
38,,,,13,step,,,,,1300,0.6342052221298218,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
41,,,,14,step,,,,,1400,0.5237147808074951,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
44,,,,15,step,,,,,1500,0.5142855644226074,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
47,,,,16,step,,,,,1600,0.5127370953559875,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
50,,,,17,step,,,,,1700,0.49709275364875793,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
53,,,,18,step,,,,,1800,0.5021499991416931,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8287,0.5070622360229492,65.93984411098063,19,bin,14330.772145811108,0.03480930245156159,14574.802959331697,0.3750515463917526,1819,,0.527331849102919,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8287,0.5070622360229492
56,,,,19,step,,,,,1900,0.4157167077064514,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
59,,,,20,step,,,,,2000,0.39773184061050415,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
62,,,,21,step,,,,,2100,0.4818846583366394,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
65,,,,22,step,,,,,2200,0.40113967657089233,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
68,,,,23,step,,,,,2300,0.4197213649749756,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
71,,,,24,step,,,,,2400,0.3728862404823303,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8487,0.4394295440673828,87.55512850300875,25,bin,14354.364732468535,0.034724842310535776,14616.83947466151,0.5,2425,,0.4301469583715936,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8487,0.4394295440673828
74,,,,25,step,,,,,2500,0.45461562275886536,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
77,,,,26,step,,,,,2600,0.3984997868537903,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
80,,,,27,step,,,,,2700,0.42434558272361755,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
83,,,,28,step,,,,,2800,0.41065481305122375,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
86,,,,29,step,,,,,2900,0.400013267993927,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
89,,,,30,step,,,,,3000,0.2943302094936371,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8535,0.4394295440673828,109.1153826690279,32,bin,14390.99985865158,0.03456418205931684,14655.64637873216,0.6249484536082475,3031,,0.35778030005618683,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8535,0.4415002311706543
92,,,,31,step,,,,,3100,0.381625771522522,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
95,,,,32,step,,,,,3200,0.3537977933883667,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
1,,,,34,step,,,,,3300,0.2796809673309326,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
